IDMESA,CodiMesa,MesaTancada,COMARCA,VNULS,VBLANCS,VERC,VJXC,VCUP,VPSC,VCS,VPPC,VCOM,VPACMA,VDIALEG,VPUMJUST,VRECORTES,VFAMILIA,VDN,VPFIV,VCONVER,VUNIDOS,VCILUS,CENS,ACTA
2,1700101001U,1,ALT EMPORDA,4,6,168,161,37,26,63,7,16,6,,,,,,,,,,591,https://cataloniavotes.today/imgs/2/2f4ec7c0-faff-4a57-9dd3-bd97e4328d9a.jpg
3,1700301001U,1,ALT EMPORDA,,,19,44,13,1,,2,1,1,,,,,,,,,,94,https://cataloniavotes.today/imgs/3/1454e3fd-f260-47f2-a124-18ccb9253e08.jpg
4,1701101001U,0,ALT EMPORDA,2,7,156,280,40,33,48,3,9,1,,,,,,,,,,644,
5,1701201001A,1,ALT EMPORDA,2,4,123,157,12,34,131,6,20,4,,,,,,,,,,598,https://cataloniavotes.today/imgs/5/2910435e-e686-408f-a2ba-0527239300ca.jpg
6,1701201001B,1,ALT EMPORDA,,2,132,137,18,24,115,11,17,,,,1,,,,,,,549,https://cataloniavotes.today/img/6/4efbd6d0-2a5c-4f70-8b19-e6fd2e93378a.jpg
7,1701601001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,731,
8,1723401001U,1,ALT EMPORDA,1,1,44,40,10,14,34,4,7,1,,,,,,,,,,180,https://cataloniavotes.today/imgs/8/0e2b053b-e38a-43c5-8986-4999f4b0ab5a.jpg
9,1702901001U,1,ALT EMPORDA,2,2,49,59,15,8,27,3,8,,,,,,,,,,,205,https://cataloniavotes.today/imgs/9/ffc0808e-33e6-48ee-95ec-f07094db2032.jpg
10,1702601001U,1,ALT EMPORDA,1,,98,258,19,17,65,7,10,2,,,,,,,,,,537,https://cataloniavotes.today/imgs/10/caff005e-15b6-4f4f-9dd5-d92928dafa0e.jpg
11,1703101001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,186,
12,1703001001U,1,ALT EMPORDA,4,1,98,187,30,36,122,24,13,3,,,1,,,,,,,628,https://cataloniavotes.today/imgs/12/be7f39fe-0968-4aae-9872-9ecc473d3ffa.jpg
13,1703201001A,1,ALT EMPORDA,1,3,183,259,28,55,80,2,35,5,,,,,,,,,,864,https://cataloniavotes.today/imgs/13/4279b029-1069-4ada-8837-e0b9914a4a2b.jpg
14,1703201001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,891,
15,1704101001U,1,ALT EMPORDA,,2,73,56,12,13,15,4,10,1,,,,,,,,,,226,https://cataloniavotes.today/imgs/15/49c77893-3c1b-4564-be54-e5a660c61f93.jpg
16,1704201001U,1,ALT EMPORDA,1,,87,157,13,16,49,6,13,1,,,,,,,,,,417,https://cataloniavotes.today/imgs/16/75959d7a-078a-4d8a-80d2-6c2cb5e5a108.jpg
17,1704701001A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,652,
18,1704701001B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,677,
19,1704701002A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,642,
20,1704701002B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,591,
21,1704701003A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,590,
22,1704701003B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,600,
23,1704701004A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,398,
24,1704701004B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,532,
25,1705101001U,1,ALT EMPORDA,,1,42,101,18,10,14,6,2,,,1,,,,,,,,218,https://cataloniavotes.today/imgs/25/cdc83353-24f7-4bb7-84e0-ca4be6bd8714.jpg
26,1705401001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,358,
27,1706001001U,1,ALT EMPORDA,2,1,105,111,24,22,57,20,10,1,,,,,,,,,,422,https://cataloniavotes.today/imgs/27/e6f26a46-a2cd-435e-8948-9b35901f68c4.jpg
28,1706201001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,564,https://cataloniavotes.today/img/28/cff31cbd-0506-4227-b127-32ff6a66c91c.jpg
29,1706201002A,1,ALT EMPORDA,5,3,141,236,36,58,167,20,20,4,,,1,,,,,,,895,https://drive.google.com/open?id=1_jlQeV9PBIV33YiTbNM6lluJFN7Mgeji
30,1706201002B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,858,
31,1706201003A,0,ALT EMPORDA,,1,110,194,39,38,87,9,25,4,,,1,,,,,,,603,
32,1706201003B,0,ALT EMPORDA,1,1,102,217,31,37,50,6,17,3,,1,,,,,,,,569,
33,1706201004A,1,ALT EMPORDA,3,4,87,137,22,53,132,19,14,1,,1,1,,,,,,,607,HTTP ERROR
34,1706201004B,1,ALT EMPORDA,,3,80,118,20,51,128,11,18,5,,,,,,,,,,521,https://cataloniavotes.today/imgs/34/64cb3d68-2fd8-43f2-8ecd-1ce220a52dd7.jpg
35,1706201005A,1,ALT EMPORDA,3,2,93,155,23,38,88,15,16,2,,,1,,,,,,,585,https://cataloniavotes.today/imgs/35/294a62fd-c37a-451d-9aa4-3cb5423ddfd1.jpg
36,1706201005B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,564,
37,1706401001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
38,1700501001U,0,ALT EMPORDA,2,1,98,129,10,21,54,17,17,,,,,,,,,,,428,
39,1706601001U,0,ALT EMPORDA,1,4,120,176,19,41,133,23,18,2,,,1,,,,,,,698,https://cataloniavotes.today/img/39/1248b549-2c3a-4002-9e58-2aa2dc50f62a.jpg
40,1706601003A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,906,
41,1706601003B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,702,
42,1706601004U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,805,
43,1706601005U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,822,
44,1706601006A,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,710,
45,1706601006B,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,709,
46,1706601007U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,1084,
47,1706601008U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,603,
48,1706602001U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,,
49,1706602002U,0,ALT EMPORDA,,,,,,,,,,,,,,,,,,,,967,
