CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
0800501005U,0.0,0,4.0,4,139.0,139,115.0,115,97.0,97,59.0,59,40.0,40,17.0,16,17.0,17,5.0,5,0.0,0,0.0,0,0.0,0
0801401001A,4.0,4,2.0,2,73.0,73,235.0,235,156.0,156,34.0,34,22.0,22,30.0,30,8.0,8,6.0,5,0.0,1,0.0,0,0.0,0
0801501002A,3.0,3,1.0,0,41.0,41,135.0,135,85.0,85,28.0,28,22.0,22,15.0,15,25.0,25,3.0,0,0.0,0,0.0,0,0.0,0
0801501003U,1.0,0,1.0,1,95.0,95,270.0,270,164.0,164,37.0,37,40.0,40,60.0,60,25.0,25,6.0,6,2.0,2,0.0,0,0.0,0
0801502007U,2.0,2,2.0,2,169.0,229,37.0,50,68.0,97,106.0,142,44.0,48,11.0,24,43.0,52,4.0,7,4.0,0,0.0,0,0.0,0
0801502010A,0.0,0,2.0,2,128.0,128,32.0,32,50.0,50,61.0,61,32.0,32,10.0,10,26.0,26,0.0,7,0.0,4,0.0,0,0.0,0
0801502011A,1.0,1,0.0,0,163.0,163,32.0,32,62.0,62,64.0,64,35.0,35,9.0,9,51.0,51,0.0,2,0.0,3,0.0,0,0.0,0
0801502011B,0.0,1,0.0,4,169.0,169,37.0,37,68.0,68,106.0,106,44.0,44,11.0,11,43.0,43,4.0,4,4.0,4,0.0,0,0.0,0
0801502013U,3.0,3,5.0,5,219.0,219,40.0,40,90.0,90,113.0,113,59.0,59,13.0,13,85.0,85,0.0,10,0.0,1,0.0,0,0.0,0
0801503001A,3.0,3,0.0,0,196.0,196,46.0,46,109.0,109,126.0,126,75.0,75,23.0,23,39.0,39,9.0,9,7.0,7,7.0,0,0.0,0
0801503001B,5.0,5,6.0,6,239.0,238,60.0,60,157.0,157,132.0,132,78.0,78,19.0,19,50.0,51,7.0,7,1.0,1,0.0,0,0.0,0
0801503007B,1.0,0,1.0,1,62.0,62,133.0,133,139.0,139,40.0,40,40.0,40,25.0,25,10.0,10,3.0,3,0.0,0,0.0,0,0.0,0
0801901042A,4.0,0,0.0,4,106.0,106,68.0,68,132.0,132,59.0,59,51.0,51,16.0,16,25.0,25,11.0,11,3.0,3,0.0,0,0.0,0
0801902009B,0.0,0,3.0,3,97.0,97,101.0,101,99.0,99,87.0,81,47.0,47,36.0,36,15.0,15,4.0,4,0.0,0,0.0,0,0.0,0
0801902011U,1.0,0,5.0,5,154.0,154,172.0,172,138.0,138,96.0,96,72.0,72,39.0,39,34.0,34,6.0,6,2.0,2,0.0,0,0.0,0
0801902017A,0.0,0,0.0,0,114.0,114,129.0,129,126.0,126,80.0,80,50.0,50,38.0,38,19.0,19,3.0,3,0.0,1,0.0,0,0.0,0
0801902031U,3.0,3,0.0,0,105.0,105,175.0,175,192.0,192,86.0,86,43.0,54,43.0,43,21.0,21,4.0,4,2.0,2,0.0,0,0.0,0
0801902042A,0.0,0,3.0,3,97.0,97,161.0,161,123.0,123,63.0,63,60.0,60,33.0,33,40.0,40,3.0,2,4.0,4,0.0,0,0.0,0
0801902043U,3.0,3,6.0,6,161.0,168,152.0,218,178.0,257,78.0,117,61.0,61,42.0,60,38.0,17,2.0,2,2.0,2,0.0,0,0.0,0
0801902044U,0.0,4,0.0,2,0.0,161,0.0,152,0.0,178,0.0,78,0.0,61,0.0,42,0.0,38,0.0,3,0.0,5,0.0,0,0.0,0
0801902075U,0.0,0,2.0,2,119.0,119,172.0,172,117.0,117,81.0,81,69.0,69,54.0,54,54.0,31,2.0,2,0.0,0,0.0,0,0.0,0
0801902092U,4.0,4,2.0,2,184.0,184,218.0,218,195.0,195,116.0,116,90.0,90,61.0,61,42.0,42,2.0,2,2.0,0,0.0,0,0.0,0
0801902096U,5.0,2,2.0,5,148.0,148,152.0,152,175.0,175,101.0,101,62.0,62,49.0,49,34.0,34,4.0,4,1.0,1,0.0,0,0.0,0
0801902100U,1.0,1,1.0,1,162.0,162,248.0,248,190.0,190,109.0,109,66.0,66,36.0,36,34.0,34,1.0,1,1.0,0,0.0,0,0.0,0
0801902122U,1.0,1,0.0,0,152.0,152,163.0,164,151.0,152,92.0,92,54.0,54,32.0,32,30.0,30,1.0,1,0.0,0,0.0,0,0.0,0
0801903070U,1.0,1,6.0,6,188.0,188,118.0,131,178.0,180,122.0,122,63.0,63,46.0,46,24.0,24,10.0,10,3.0,3,0.0,0,0.0,0
0801903071U,0.0,1,0.0,2,0.0,142,0.0,78,0.0,161,0.0,117,0.0,74,0.0,40,0.0,41,0.0,6,0.0,4,0.0,0,0.0,0
0801903095U,0.0,5,0.0,4,0.0,191,0.0,204,0.0,234,0.0,112,0.0,76,0.0,57,0.0,34,0.0,4,0.0,2,0.0,0,0.0,0
0801903103U,1.0,0,2.0,3,142.0,142,150.0,150,227.0,227,85.0,85,79.0,79,60.0,60,41.0,41,10.0,7,2.0,2,1.0,0,0.0,0
0801904044A,1.0,1,4.0,4,120.0,120,79.0,79,139.0,139,91.0,81,46.0,46,17.0,17,20.0,20,2.0,2,0.0,0,0.0,0,0.0,0
0801905005U,3.0,3,4.0,4,128.0,128,158.0,158,75.0,73,80.0,80,37.0,37,26.0,26,27.0,27,3.0,3,1.0,1,0.0,0,0.0,0
0801905036B,0.0,0,7.0,7,155.0,155,163.0,163,45.0,45,73.0,73,14.0,14,9.0,9,46.0,46,0.0,1,0.0,0,0.0,0,0.0,0
0801905039B,0.0,0,5.0,5,164.0,164,151.0,151,45.0,46,83.0,83,16.0,16,9.0,9,30.0,30,1.0,1,0.0,0,0.0,0,0.0,0
0801906059U,1.0,1,0.0,0,101.0,109,197.0,197,249.0,249,101.0,101,90.0,90,88.0,88,25.0,25,6.0,6,1.0,1,0.0,0,0.0,0
0801907013U,4.0,4,7.0,7,203.0,203,73.0,158,204.0,204,120.0,120,73.0,73,53.0,53,43.0,43,2.0,2,0.0,0,0.0,0,0.0,0
0801907019U,3.0,6,2.0,11,148.0,182,256.0,221,232.0,232,110.0,109,77.0,75,59.0,52,36.0,33,6.0,3,5.0,1,0.0,0,0.0,0
0801908007U,5.0,5,7.0,7,227.0,227,90.0,90,155.0,155,146.0,146,73.0,73,33.0,33,68.0,68,4.0,4,1.0,1,1.0,0,0.0,0
0801908034U,7.0,2,2.0,4,235.0,195,114.0,60,189.0,85,154.0,132,78.0,63,30.0,23,65.0,63,5.0,5,2.0,3,0.0,0,0.0,0
0801909011A,3.0,3,1.0,2,123.0,123,44.0,44,102.0,102,69.0,69,51.0,51,13.0,13,31.0,31,7.0,7,1.0,1,0.0,0,0.0,0
0801909015A,1.0,1,2.0,2,179.0,179,40.0,40,103.0,103,84.0,84,48.0,49,23.0,23,20.0,20,6.0,6,2.0,2,0.0,0,0.0,0
0801909063U,1.0,1,3.0,3,202.0,202,100.0,100,150.0,150,118.0,118,115.0,115,38.0,38,33.0,33,5.0,5,2.0,2,1.0,0,0.0,0
0801909066U,2.0,2,6.0,6,251.0,251,144.0,144,233.0,233,129.0,129,80.0,80,45.0,45,42.0,42,9.0,9,3.0,3,1.0,0,0.0,0
0801909067U,8.0,8,4.0,4,216.0,216,124.0,124,184.0,184,172.0,172,64.0,64,43.0,43,58.0,58,13.0,13,1.0,1,1.0,0,0.0,0
0801909094A,2.0,2,3.0,3,148.0,148,135.0,135,140.0,140,88.0,88,55.0,55,27.0,27,42.0,42,4.0,4,0.0,2,2.0,0,0.0,0
0801910059U,0.0,0,7.0,7,128.0,128,135.0,135,188.0,188,152.0,132,104.0,104,65.0,69,16.0,16,7.0,7,6.0,6,0.0,0,0.0,0
0801910115U,0.0,4,0.0,1,202.0,202,112.0,112,146.0,146,115.0,115,94.0,94,46.0,46,49.0,49,6.0,6,3.0,3,0.0,0,0.0,0
0801910234B,0.0,0,0.0,0,146.0,156,78.0,78,165.0,165,75.0,75,58.0,58,25.0,25,32.0,32,7.0,7,3.0,3,0.0,0,0.0,0
0802201006B,2.0,2,1.0,0,27.0,27,99.0,99,75.0,75,18.0,18,13.0,13,21.0,21,3.0,3,2.0,2,1.0,1,1.0,0,0.0,0
0802801001A,2.0,2,7.0,0,102.0,131,126.0,46,115.0,91,50.0,100,32.0,39,14.0,17,9.0,19,5.0,5,3.0,5,0.0,0,0.0,0
0804001005B,2.0,1,1.0,2,105.0,105,141.0,141,110.0,110,40.0,40,25.0,25,23.0,23,17.0,17,1.0,1,2.0,2,0.0,0,0.0,0
0804301002B,2.0,2,3.0,3,229.0,229,100.0,100,129.0,129,107.0,107,48.0,46,23.0,23,28.0,28,7.0,7,1.0,1,0.0,0,0.0,0
0804402001B,1.0,1,2.0,3,109.0,91,117.0,88,126.0,104,69.0,59,15.0,20,39.0,41,10.0,5,1.0,0,0.0,1,0.0,0,0.0,0
0804602003A,1.0,0,4.0,2,104.0,93,180.0,166,178.0,165,64.0,54,30.0,26,41.0,37,24.0,7,4.0,3,0.0,3,0.0,0,0.0,0
0804602004A,6.0,6,2.0,2,103.0,103,130.0,180,193.0,193,72.0,72,46.0,46,45.0,45,18.0,18,1.0,1,1.0,0,0.0,0,0.0,0
0804701001U,8.0,3,3.0,8,115.0,115,190.0,190,188.0,188,77.0,77,26.0,26,38.0,38,20.0,20,2.0,2,3.0,3,0.0,0,0.0,0
0805101013B,3.0,3,7.0,7,202.0,202,83.0,83,147.0,147,100.0,100,74.0,74,13.0,13,19.0,19,7.0,7,1.0,1,1.0,0,0.0,0
0805603001U,1.0,1,3.0,3,238.0,238,48.0,48,81.0,81,131.0,131,68.0,68,13.0,13,111.0,41,11.0,11,3.0,3,0.0,0,0.0,0
0805603003B,4.0,4,0.0,0,243.0,243,24.0,24,87.0,87,123.0,123,57.0,57,16.0,17,39.0,39,12.0,12,5.0,5,0.0,0,0.0,0
0806601001B,1.0,1,1.0,1,75.0,75,95.0,95,110.0,110,59.0,59,26.0,26,23.0,23,4.0,4,5.0,5,0.0,1,0.0,0,0.0,0
0806701001B,4.0,0,2.0,0,56.0,56,253.0,253,152.0,152,37.0,37,19.0,19,30.0,30,17.0,17,3.0,3,0.0,0,0.0,0,0.0,0
0806901003B,5.0,4,1.0,1,170.0,170,143.0,143,180.0,181,66.0,66,50.0,50,27.0,27,24.0,24,7.0,7,1.0,1,0.0,0,0.0,0
0807201006U,4.0,4,4.0,4,262.0,262,55.0,55,152.0,177,121.0,121,58.0,58,18.0,18,37.0,37,11.0,11,0.0,3,0.0,0,0.0,0
0807304007A,2.0,2,0.0,0,73.0,78,13.0,13,49.0,49,87.0,87,37.0,37,19.0,14,22.0,22,6.0,6,1.0,1,0.0,0,0.0,0
