CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
0800101001B,0.0,2,0.0,3,0.0,94,0.0,28,0.0,46,0.0,77,0.0,34,0.0,5,0.0,23,0.0,5,0.0,1,0.0,0,0.0,0
0800101008A,0.0,2,0.0,3,0.0,187,0.0,41,0.0,100,0.0,104,0.0,75,0.0,11,0.0,20,0.0,8,0.0,2,0.0,0,0.0,0
0800101008B,0.0,2,0.0,2,0.0,258,0.0,48,0.0,109,0.0,134,0.0,77,0.0,17,0.0,18,0.0,11,0.0,2,0.0,0,0.0,0
0800301001C,0.0,3,0.0,3,0.0,74,0.0,193,0.0,161,0.0,66,0.0,29,0.0,31,0.0,13,0.0,4,0.0,1,0.0,0,0.0,0
0800501001A,0.0,1,0.0,1,0.0,95,0.0,154,0.0,122,0.0,46,0.0,24,0.0,17,0.0,18,0.0,2,0.0,3,0.0,0,0.0,0
0800501002B,0.0,1,0.0,3,0.0,62,0.0,280,0.0,131,0.0,44,0.0,26,0.0,21,0.0,14,0.0,5,0.0,1,0.0,0,0.0,0
0800501003A,0.0,2,0.0,1,0.0,93,0.0,228,0.0,151,0.0,36,0.0,25,0.0,26,0.0,12,0.0,3,0.0,2,0.0,0,0.0,0
0800501003B,0.0,1,0.0,1,0.0,112,0.0,167,0.0,123,0.0,40,0.0,25,0.0,11,0.0,10,0.0,4,0.0,1,0.0,0,0.0,0
0800501003C,0.0,0,0.0,4,0.0,76,0.0,241,0.0,130,0.0,25,0.0,26,0.0,17,0.0,13,0.0,5,0.0,1,0.0,0,0.0,0
0800601001B,0.0,1,0.0,3,0.0,145,0.0,262,0.0,205,0.0,69,0.0,32,0.0,54,0.0,27,0.0,1,0.0,1,0.0,0,0.0,0
0800601002A,0.0,1,0.0,2,0.0,61,0.0,171,0.0,117,0.0,35,0.0,22,0.0,16,0.0,12,0.0,2,0.0,0,0.0,0,0.0,0
0800601002C,5.0,5,1.0,1,53.0,53,170.0,170,124.0,124,33.0,33,18.0,18,24.0,24,10.0,10,1.0,1,0.0,1,0.0,0,0.0,0
0800601004U,2.0,2,1.0,1,140.0,140,223.0,223,143.0,143,64.0,64,38.0,38,46.0,46,30.0,30,2.0,6,2.0,2,0.0,0,0.0,0
0800602001A,3.0,3,1.0,1,81.0,81,148.0,148,132.0,132,47.0,47,20.0,20,22.0,27,18.0,18,5.0,5,1.0,1,0.0,0,0.0,0
0800701001A,1.0,1,1.0,2,62.0,51,211.0,174,156.0,133,29.0,28,26.0,19,25.0,21,12.0,6,2.0,2,1.0,1,0.0,0,0.0,0
0800701001B,0.0,0,0.0,1,0.0,62,0.0,211,0.0,156,0.0,29,0.0,26,0.0,25,0.0,12,0.0,0,0.0,1,0.0,0,0.0,0
0800701002C,2.0,1,3.0,3,72.0,72,181.0,181,160.0,160,33.0,33,16.0,16,36.0,36,9.0,9,7.0,7,0.0,0,0.0,0,0.0,0
0800702001A,2.0,2,3.0,3,51.0,51,199.0,198,137.0,137,28.0,28,24.0,24,36.0,36,10.0,10,4.0,4,0.0,0,0.0,0,0.0,0
0800702001B,0.0,4,0.0,2,0.0,75,0.0,169,0.0,129,0.0,31,0.0,32,0.0,33,0.0,9,0.0,2,0.0,0,0.0,0,0.0,0
0800702002B,1.0,1,2.0,2,77.0,77,129.0,129,124.0,124,31.0,31,24.0,24,19.0,19,10.0,10,4.0,4,1.0,1,1.0,0,0.0,0
0800901004A,0.0,1,0.0,1,0.0,139,0.0,121,0.0,112,0.0,58,0.0,36,0.0,17,0.0,14,0.0,8,0.0,0,0.0,0,0.0,0
0800901006B,3.0,3,2.0,2,88.0,88,146.0,146,98.0,98,31.0,50,12.0,12,21.0,21,31.0,31,2.0,2,3.0,3,0.0,0,0.0,0
